Date,Open,High,Low,Close,Adj Close,Volume,Returns
2020-01-02,12198.5498046875,12289.900390625,12195.25,12282.2001953125,12282.2001953125,407700,0.008183886337984836
2020-01-03,12261.099609375,12265.599609375,12191.349609375,12226.650390625,12226.650390625,428800,-0.004522789386603554
2020-01-06,12170.599609375,12179.099609375,11974.2001953125,11993.0498046875,11993.0498046875,396500,-0.019105853072941215
2020-01-07,12079.099609375,12152.150390625,12005.349609375,12052.9501953125,12052.9501953125,447800,0.004994592001242859
2020-01-08,11939.099609375,12044.9501953125,11929.599609375,12025.349609375,12025.349609375,446000,-0.0022899444111396106
2020-01-09,12153.150390625,12224.0498046875,12132.5498046875,12215.900390625,12215.900390625,477500,0.015845758122611686
2020-01-10,12271.0,12311.2001953125,12213.2001953125,12256.7998046875,12256.7998046875,660600,0.0033480474426501594
2020-01-13,12296.7001953125,12337.75,12285.7998046875,12329.5498046875,12329.5498046875,501000,0.0059354808073293075
2020-01-14,12333.099609375,12374.25,12308.7001953125,12362.2998046875,12362.2998046875,616300,0.0026562202609821117
2020-01-15,12349.400390625,12355.150390625,12278.75,12343.2998046875,12343.2998046875,684400,-0.0015369308543056182
2020-01-16,12347.099609375,12389.0498046875,12315.7998046875,12355.5,12355.5,395700,0.000988406301843714
2020-01-17,12328.400390625,12385.4501953125,12321.400390625,12352.349609375,12352.349609375,502100,-0.000254978804985595
2020-01-20,12430.5,12430.5,12216.900390625,12224.5498046875,12224.5498046875,491600,-0.010346193941151438
2020-01-21,12195.2998046875,12230.0498046875,12162.2998046875,12169.849609375,12169.849609375,400,-0.004474618385662321
2020-01-22,12218.349609375,12225.0498046875,12087.900390625,12106.900390625,12106.900390625,500,-0.005172555189302153
2020-01-23,12123.75,12189.0,12094.099609375,12180.349609375,12180.349609375,867700,0.0060667236352978104
2020-01-24,12174.5498046875,12272.150390625,12149.650390625,12248.25,12248.25,593200,0.005574584704263197
2020-01-27,12197.099609375,12216.599609375,12107.0,12119.0,12119.0,441200,-0.010552527912150667
2020-01-28,12148.099609375,12163.5498046875,12024.5,12055.7998046875,12055.7998046875,478500,-0.005214967844912932
2020-01-29,12114.900390625,12169.599609375,12103.7998046875,12129.5,12129.5,514400,0.006113256399948197
2020-01-30,12147.75,12150.2998046875,12010.599609375,12035.7998046875,12035.7998046875,538100,-0.0077249841553650445
2020-01-31,12100.400390625,12103.5498046875,11945.849609375,11962.099609375,11962.099609375,771300,-0.006123414854723341
2020-02-03,11627.4501953125,11749.849609375,11614.5,11707.900390625,11707.900390625,669800,-0.021250384719316173
2020-02-04,11786.25,11986.150390625,11783.400390625,11979.650390625,11979.650390625,560400,0.02321082268667074
2020-02-05,12005.849609375,12098.150390625,11953.349609375,12089.150390625,12089.150390625,758000,0.009140500467834434
2020-02-06,12120.0,12160.599609375,12084.650390625,12137.9501953125,12137.9501953125,565100,0.004036661230167438
2020-02-07,12151.150390625,12154.7001953125,12073.9501953125,12098.349609375,12098.349609375,473500,-0.0032625431230384194
2020-02-10,12102.349609375,12103.5498046875,11990.75,12031.5,12031.5,524700,-0.005525514763038308
2020-02-11,12108.400390625,12172.2998046875,12099.0,12107.900390625,12107.900390625,480000,0.006350030388978967
2020-02-12,12151.0,12231.75,12144.2998046875,12201.2001953125,12201.2001953125,411700,0.0077056964194832656
2020-02-13,12219.5498046875,12225.650390625,12139.7998046875,12174.650390625,12174.650390625,501200,-0.0021759994314084485
2020-02-14,12190.150390625,12246.7001953125,12091.2001953125,12113.4501953125,12113.4501953125,622800,-0.005026854435148831
2020-02-17,12131.7998046875,12159.599609375,12037.0,12045.7998046875,12045.7998046875,0,-0.00558473346026378
2020-02-18,12028.25,12030.75,11908.0498046875,11992.5,11992.5,676900,-0.004424762618648104
2020-02-19,12090.599609375,12134.7001953125,12042.099609375,12125.900390625,12125.900390625,513600,0.011123651500938081
2020-02-20,12119.0,12152.0,12071.4501953125,12080.849609375,12080.849609375,502600,-0.003715252459506435
2020-02-24,12012.5498046875,12012.5498046875,11813.400390625,11829.400390625,11829.400390625,490800,-0.02081386879900149
2020-02-25,11877.5,11883.0498046875,11779.900390625,11797.900390625,11797.900390625,461000,-0.002662856861702312
2020-02-26,11738.5498046875,11783.25,11639.599609375,11678.5,11678.5,567600,-0.010120477938589723
2020-02-27,11661.25,11663.849609375,11536.7001953125,11633.2998046875,11633.2998046875,608600,-0.003870376787472707
2020-02-28,11382.0,11384.7998046875,11175.0498046875,11201.75,11201.75,809900,-0.03709607866493836
2020-03-02,11387.349609375,11433.0,11036.25,11132.75,11132.75,680800,-0.006159751824491688
2020-03-03,11217.5498046875,11342.25,11152.5498046875,11303.2998046875,11303.2998046875,696500,0.015319647408546855
